Artist,Title,Year
Delia Derbyshire,Blue Veils and Golden Sands ,1967
Delia Derbyshire,Ziwzih Ziwzih OO-OO-OO ,1966
Ruth White,Sun ,1969
Monique Rollin,Etude Vocale ,1952
Jean Eichelberger Ivey,Pinball ,1967
Gruppo NPS,Module Four ,1967
Jocy De Oliviera,Est&oacute;ria II ,1967
Tera de Marez Oyens,Safed ,1967
Franca Sacchi,Arpa Eolia ,1970
Sofia Gubaidulina,Viente-non-Vivente ,1970
Beatriz Ferreyra,l&rsquo;Orvietan ,1970
Suzanne Ciani,Paris 1971 ,1971
Fran&ccedil;oise Barri&egrave;re,"Cordes-Ci, Cordes-&Ccedil;a ",1972
Jacqueline Nova,Creation de la Tierra ,1972
Teresa Rampazzi,Musica Endoscopica ,1972
Lily Greenham,Traffic ,1975
Megan Roberts,I Could Sit Here All Day ,1976
Laurie Anderson,Is Anybody Home? ,1977
Laetitia de Compiegne Sonami,Migration ,1978
Constance Demby,The Dawning ,1980
Miquette Giraudy (w/Steve Hillage),Garden of Paradise ,1979
Ann McMillan,Syrinx ,1979
Doris Hays,Celebration of No (from Beyond Violence) ,1982
Brenda Hutchinson,Fashion Show ,1983
Barbara Golden / Melody Sumner Carnahan,My Pleasure ,1997
Catherine Christer Hennix,The Electric Harpsichord ,1976
Ann Southam,Reprieve (excerpts) ,1976
Maddallena Fagandini,Timebeat ,1962
Glynis Jones,Schlum Rooli ,1975
Elizabeth Parker,Dawn of Emptiness ,1981
Sheila Booth,The Wheel ,1972
Joanna Brouk,The Creative ,1972
Michele Bokanowski,Trois Chambres d'Inquietude I ,1976
Cosey Fanni Tutti (Throbbing Gristle),Hometime ,1978
Hildegard Westerkamp,Kits Beach Soundwalk ,1989
Hildegard Westerkamp,Fantasie For Horns I ,1978
Frankie Mann,I Was a Hero From The Mayan Debutante Revue ,1979
Emerald Web,Valley Of The Birds ,1984
Joan La Barbara,Erin ,1980
Malaria!,Geld	,1982
Neo Zelanda,Paso Hambre ,1983
Marcelle Desch&ecirc;nes,OP&Eacute;RAaaaAH! ,1983
Diamanda Galas,Panoptikon ,1984
Doris Norton,Bit Killed Hertz ,1985
Emily,Compromise ,1985
Pamela Z,Echolocation ,1988
Kaija Saariaho,Jardin Secret 1 ,1985
Kaija Saariaho,IO ,1987
Carla Scaletti,Sun Surge Automata ,1987
Zeena Parkins &amp; Ikue Mori,Night Light ,1987
Christina Kubisch,The Cat's Dream ,1987
Ana-Maria Avram,Zodiaque III ,1990
